# See https://gitlab.freedesktop.org/mesa/mesa/-/merge_requests/9049
dEQP-VK.pipeline.timestamp.calibrated.calibration_test,Fail
dEQP-VK.shader_object.binding.swap_tesc_unused_output_vert_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tesc_unused_output_vert_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_frag_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_frag_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_frag_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_frag_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_frag_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_frag_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_frag_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_frag_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_frag_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_frag_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_geom_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_geom_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_geom_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_geom_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_geom_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_geom_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_geom_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_geom_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_geom_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_geom_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tesc_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tesc_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tesc_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tesc_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tesc_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tesc_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tesc_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tesc_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tesc_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tesc_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tese_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tese_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tese_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tese_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tese_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tese_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tese_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tese_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tese_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_tese_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_vert_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_vert_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_vert_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_vert_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_vert_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_vert_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_vert_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_vert_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_vert_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_tese_unused_output_vert_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_frag_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_frag_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_frag_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_frag_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_frag_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_frag_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_frag_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_frag_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_frag_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_frag_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_geom_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_geom_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_geom_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_geom_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_geom_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_geom_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_geom_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_geom_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_geom_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_geom_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tesc_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tesc_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tesc_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tesc_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tesc_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tesc_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tesc_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tesc_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tesc_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tesc_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tese_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tese_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tese_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tese_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tese_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tese_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tese_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tese_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tese_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_tese_binary_vert_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_vert_binary_frag_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_vert_binary_frag_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_vert_binary_geom_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_vert_binary_geom_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_vert_binary_tesc_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_vert_binary_tesc_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_vert_binary_tese_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_vert_binary_tese_before_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_vert_binary_vert_after_no_next_stage,Crash
dEQP-VK.shader_object.binding.swap_vert_unused_output_vert_binary_vert_before_no_next_stage,Crash
